student_id,fee_type,amount_due,amount_paid,due_date,payment_date,status,is_overdue,remarks
ST001,Tuition,500.00,500.00,2024-01-31,2024-01-25,paid,false,Paid on time
ST001,Library,50.00,50.00,2024-01-31,2024-01-25,paid,false,Paid on time
ST002,Tuition,500.00,300.00,2024-01-31,2024-01-25,partial,false,Partial payment
ST002,Library,50.00,0.00,2024-01-31,,unpaid,false,Not paid yet
ST003,Tuition,500.00,0.00,2024-01-31,,unpaid,true,Overdue
ST003,Library,50.00,0.00,2024-01-31,,unpaid,true,Overdue
ST004,Tuition,500.00,500.00,2024-01-31,2024-01-20,paid,false,Paid early
ST004,Library,50.00,50.00,2024-01-31,2024-01-20,paid,false,Paid early
ST005,Tuition,500.00,0.00,2024-01-31,,unpaid,true,Overdue
ST005,Library,50.00,0.00,2024-01-31,,unpaid,true,Overdue
